# type-vocabulary.tsv — canonical owners for cross-crate Rust types.
#
# Format: <name> <kind> <owner-path> <mode> <notes>
#
# mode:
#   enforce  pretooluse-vocab hook blocks Write/Edit of this type outside owner
#   audit    audit reports it, but the changed-file hook does not fail.
#            Use for types whose owner crate doesn't exist yet.
#
# This is the cross-cutting vocabulary whose duplication fragments the
# architecture. Per REDIS_PORT_HARNESS_SPEC.md §"Type Vocabulary".

RedisServer       struct  crates/redis-core/src/server.rs           enforce  stub defined 2026-05-16 architect packet
Client            struct  crates/redis-core/src/client.rs           enforce  defined 2026-05-16 architect packet
RedisDb           struct  crates/redis-core/src/db.rs               enforce  stub defined 2026-05-16 architect packet
RedisObject       struct  crates/redis-core/src/object.rs           enforce  full port landed 2026-05-17 (was enum stub); struct { lru, expire, kind }
ObjectKind        enum    crates/redis-core/src/object.rs           enforce  inner discriminator for RedisObject; landed 2026-05-17 with object.c full port
StringEncoding    enum    crates/redis-core/src/object.rs           enforce  Raw/Embstr/Int sub-variants for ObjectKind::String
ListEncoding      enum    crates/redis-core/src/object.rs           enforce  ListPack/QuickList sub-variants for ObjectKind::List
SetEncoding       enum    crates/redis-core/src/object.rs           enforce  ListPack/IntSet/HashTable sub-variants for ObjectKind::Set
ZSetEncoding      enum    crates/redis-core/src/object.rs           enforce  ListPack/SkipList sub-variants for ObjectKind::ZSet
HashEncoding      enum    crates/redis-core/src/object.rs           enforce  ListPack/HashTable sub-variants for ObjectKind::Hash
ObjectType        enum    crates/redis-core/src/object.rs           enforce  discriminant used by check_type (mirrors C OBJ_STRING/OBJ_LIST/…)
RedisString       struct  crates/redis-types/src/string.rs          enforce  defined 2026-05-16 architect packet
RedisError        enum    crates/redis-types/src/error.rs           enforce  defined 2026-05-16 architect packet
RespFrame         enum    crates/redis-protocol/src/frame.rs        enforce  defined 2026-05-16 architect packet
CommandSpec       struct  crates/redis-commands/src/spec.rs         audit    TODO: define in pilot Phase 2 (from command JSON)
CommandContext    struct  crates/redis-core/src/command_context.rs  enforce  defined 2026-05-16 architect packet
StreamId          struct  crates/redis-ds/src/stream.rs             enforce  skeleton stub defined 2026-05-17 architect packet
ListPack          struct  crates/redis-ds/src/listpack.rs           enforce  skeleton stub defined 2026-05-17 architect packet
QuickList         struct  crates/redis-ds/src/quicklist.rs          enforce  skeleton stub defined 2026-05-17 architect packet
RadixTree         struct  crates/redis-ds/src/rax.rs                enforce  skeleton stub defined 2026-05-17 architect packet
IntSet            struct  crates/redis-ds/src/intset.rs             enforce  skeleton stub defined 2026-05-17 architect packet
Dict              struct  crates/redis-ds/src/dict.rs               enforce  skeleton stub defined 2026-05-17 architect packet
LinkedList        struct  crates/redis-ds/src/adlist.rs             enforce  skeleton stub defined 2026-05-17 architect packet
ZSkiplist         struct  crates/redis-ds/src/zskiplist.rs          enforce  skeleton stub defined 2026-05-17 architect packet
HashTable         struct  crates/redis-ds/src/hashtable.rs          enforce  skeleton stub defined 2026-05-17 architect packet
Kvstore           struct  crates/redis-ds/src/kvstore.rs            enforce  skeleton stub defined 2026-05-17 architect packet
Ziplist           struct  crates/redis-ds/src/ziplist.rs            enforce  skeleton stub defined 2026-05-17 architect packet
ModuleApi         struct  crates/redis-modules/src/api.rs           audit  Phase 10: modules (crate not in pilot)
MultiState        struct  crates/redis-core/src/client.rs           audit    moved from salvaged multi.rs; per Phase B compile-fix
MultiCmd          struct  crates/redis-core/src/client.rs           audit    moved from salvaged multi.rs
WatchedKey        struct  crates/redis-core/src/client.rs           audit    moved from salvaged multi.rs
WatchedKeysIndex  struct  crates/redis-core/src/db.rs               audit    Round 8b cross-conn WATCH dirty-bit propagation (global OnceLock)
